Bettina Bähr-Losse,0,1,0,0,0
Bettina Hagedorn,1,1,1,1,0
Bettina Herlitzius,1,0,0,0,0
Bettina Hornhues,0,1,0,0,0
Bettina Kudla,1,1,0,0,0
Bettina Lugk,0,0,0,1,0
Bettina Margarethe Wiesmann,0,0,1,1,0
Bettina Müller,0,1,1,1,0
Bettina Stark-Watzinger,0,0,1,1,0
Bijan Djir-Sarai,1,0,1,1,0
Birgit Homburger,1,0,0,0,0
Birgit Kömpel,0,1,0,0,0
Birgit Menz,0,1,0,0,0
Birgit Wöllert,0,1,0,0,0
Birgitt Bender,1,0,0,0,0
Birke Bull-Bischoff,0,0,1,0,0
Björn Simon,0,0,1,1,0
Björn Sänger,1,0,0,0,0
Boris Mijatovic,0,0,0,1,0
Boris Mijatović,0,0,0,1,0
Brian Nickholz,0,0,0,1,0
Brigitte Freihold,0,0,1,0,0
Brigitte Pothmer,1,1,0,0,0
Brigitte Zypries,1,1,0,0,0
Britta Haßelmann,1,1,1,1,0
Britta Katharina Dassler,0,0,1,0,0
Bruno Hönel,0,0,0,1,0
Burkhard Blienert,0,1,0,0,0
Burkhard Lischka,1,1,1,0,0
Burkhardt Müller-Sönksen,1,0,0,0,0
Bärbel Bas,1,1,1,1,0
Bärbel Höhn,1,1,0,0,0
Cajus Caesar,1,1,0,0,0
Canan Bayram,0,0,1,1,0
Cansel Kiziltepe,0,1,1,1,0
Caren Lay,1,1,1,1,0
Caren Marks,1,1,1,0,0
Carina Konrad,0,0,1,1,0
Carl-Julius Cronenberg,0,0,1,1,0
Carlos Kasper,0,0,0,1,0
Carmen Wegge,0,0,0,1,0
Carola Stauche,1,1,0,0,0
Carolin Bachmann,0,0,0,1,0
Carsten Körber,0,1,1,1,0
Carsten Müller (Braunschweig),0,1,1,1,0
Carsten Schneider (Erfurt),1,1,1,1,0
Carsten Träger,0,1,1,1,0
Catarina dos Santos Firnhaber,0,0,0,1,0
Catarina dos Santos-Wintz,0,0,0,1,0
Cem Özdemir,0,1,1,1,0
Cemile Giousouf,0,1,0,0,0
Chantal Kopf,0,0,0,1,0
Charles M. Huber,0,1,0,0,0
Charlotte Schneidewind-Hartnagel,0,0,1,0,0
Christel Humme,1,0,0,0,0
Christel Voßbeck-Kayser,0,1,0,0,0
Christian Ahrendt,1,0,0,0,0
Christian Bartelt,0,0,0,1,0
Christian Dürr,0,0,1,1,0
Christian Flisek,0,1,0,0,0
Christian Frhr. von Stetten,1,1,1,1,0
Christian Görke,0,0,0,1,0
Christian Haase,0,1,1,1,0
Christian Hirte,1,1,1,1,0
Christian Kühn (Tübingen),0,1,1,1,0
Christian Lange (Backnang),1,1,1,0,0
Christian Leye,0,0,0,1,0
Christian Lindner,0,0,1,1,0
Christian Natterer,0,0,1,0,0
Christian Petry,0,1,1,1,0
Christian Sauter,0,0,1,1,0
Christian Schmidt (Fürth),1,1,1,0,0
Christian Schreider,0,0,0,1,0
Christina Jantz,0,1,0,0,0
Christina Jantz-Herrmann,0,1,0,0,0
Christina Kampmann,0,1,0,0,0
Christina Schwarzer,0,1,0,0,0
Christina Stumpp,0,0,0,1,0
Christina-Johanne Schröder,0,0,0,1,0
Christine Aschenberg-Dugnus,1,0,1,1,0
Christine Buchholz,1,1,1,0,0
Christine Lambrecht,1,1,1,0,0
Christoph Bernstiel,0,0,1,0,0
Christoph Matschie,0,0,1,0,0
Christoph Meyer,0,0,1,1,0
Christoph Neumann,0,0,1,0,0
Christoph Poland,1,0,0,0,0
Christoph Schmid,0,0,0,1,0
Christoph Schnurr,1,0,0,0,0
Christoph Strässer,1,1,0,0,0
Christoph de Vries,0,0,1,1,0
Christopher Gohl,0,0,1,0,0
Clara Bünger,0,0,0,1,0
Claudia Bögel,1,0,0,0,0
Claudia Moll,0,0,1,1,0
Claudia Müller,0,0,1,1,0
Claudia Raffelhüschen,0,0,0,1,0
Claudia Roth (Augsburg),1,1,1,1,0
Claudia Tausend,0,1,1,1,0
Clemens Binninger,1,1,0,0,0
Corinna Miazga,0,0,1,1,0
Corinna Rüffer,0,1,1,1,0
Cornelia Behm,1,0,0,0,0
Cornelia Möhring,1,1,1,1,0
Cornelia Pieper,1,0,0,0,0
Dagmar Andres,0,0,0,1,0
Dagmar Freitag,1,1,1,0,0
Dagmar G. Wöhrl,1,1,0,0,0
Dagmar Schmidt (Wetzlar),0,1,1,1,0
Dagmar Ziegler,1,1,1,0,0
Daniel Bahr (Münster),1,0,0,0,0
Daniel Baldy,0,0,0,1,0
Daniel Föst,0,0,1,1,0
Daniel Rinkert,0,0,0,1,0
Daniel Schneider,0,0,0,1,0
Daniela Kluckert,0,0,1,1,0
Daniela Kolbe,0,1,1,0,0
Daniela Kolbe (Leipzig),1,1,0,0,0
Daniela Ludwig,1,1,1,1,0
Daniela Wagner,1,0,1,0,0
Deborah Düring,0,0,0,1,0
Denise Loop,0,0,0,1,0
Dennis Rohde,0,1,1,1,0
Derya Türk-Nachbaur,0,0,0,1,0
Detlef Müller (Chemnitz),0,1,1,1,0
Detlef Seif,1,1,1,1,0
Detlev Pilger,0,1,1,0,0
Detlev Spangenberg,0,0,1,0,0
Diana Golze,1,1,0,0,0
Diana Stöcker,0,0,0,1,0
Dieter Janecek,0,1,1,1,0
Dieter Jasper,1,0,0,0,0
Dieter Stier,1,1,1,1,0
Dietmar Friedhoff,0,0,1,1,0
Dietmar Nietan,1,1,1,1,0
Dietrich Monstadt,1,1,1,1,0
Dirk Becker,1,1,0,0,0
Dirk Brandes,0,0,0,1,0
Dirk Fischer (Hamburg),1,1,0,0,0
Dirk Heidenblut,0,1,1,1,0
Dirk Niebel,1,0,0,0,0
Dirk Vöpel,0,1,1,1,0
Dirk Wiese,0,1,1,1,0
Dirk-Ulrich Mende,0,0,0,1,0
Doris  Barnett,1,0,0,0,0
Doris Achelwilm,0,0,1,0,0
Doris Barnett,1,1,1,0,0
Doris Wagner,0,1,0,0,0
Dorothea Steiner,1,0,0,0,0
