instance, struct, config, seed, edge_weight,current, best_batch, best,best_plus_negative_edge_weight, epochs_since_restart, current_temp, runtime_ms
bitcoinotc_signed.json, config_venus_chunks_100.json, intervals12.json, 1, 21434, 776, 774, 774, -2377, 50, 0.0000017785808431495014, 2672
bitcoinotc_signed.json, config_venus_chunks_10.json, clusters12.json, 1, 21434, 1200, 1198, 1198, -1953, 50, 0.0000007903222865629688, 2789
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals12.json, 1, 21434, 762, 754, 754, -2391, 50, 0, 2812
bitcoinotc_signed.json, config_gaia_chunks_100.json, intervals6.json, 1, 21434, 796, 795, 795, -2357, 50, 0, 2849
bundestag_signed.json, config_gaia_chunks_100.json, clusters2.json, 1, 397497, 11764, 11764, 11764, -64777, 50, 0, 1782
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals12.json, 1, 21434, 784, 767, 767, -2369, 50, 0.000045619564567855124, 3158
bitcoinotc_signed.json, config_venus_chunks_100.json, intervals8.json, 1, 21434, 760, 756, 756, -2393, 50, 0.0000007903222865629688, 3186
bitcoinotc_signed.json, config_gaia_chunks_100.json, intervals10.json, 1, 21434, 744, 740, 740, -2409, 50, 0, 3421
bundestag_signed.json, config_gaia_chunks_10.json, clusters2.json, 1, 397497, 11764, 11764, 11764, -64777, 50, 0, 2403
bitcoinotc_signed.json, config_gaia_chunks_100.json, intervals14.json, 1, 21434, 796, 793, 793, -2357, 50, 0, 3853
bitcoinotc_signed.json, config_gaia_chunks_100.json, intervals8.json, 1, 21434, 739, 736, 736, -2414, 50, 0, 3890
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals6.json, 1, 21434, 784, 771, 771, -2369, 50, 0.000000000031220292099620525, 3900
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals16.json, 1, 21434, 802, 796, 796, -2351, 50, 0.00001351285335319291, 4056
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals10.json, 1, 21434, 744, 733, 733, -2409, 50, 0, 4227
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals16.json, 1, 21434, 753, 747, 747, -2400, 50, 0, 4596
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals14.json, 1, 21434, 784, 777, 777, -2369, 50, 0.000000004055582591118235, 4862
bundestag_signed.json, config_gaia_chunks_100.json, clusters4.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 3528
bundestag_signed.json, config_gaia_chunks_10.json, clusters4.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 3604
bundestag_signed.json, config_venus_chunks_10.json, clusters2.json, 1, 397497, 11725, 11725, 11725, -64816, 50, 0.06754225682330665, 3729
bundestag_signed.json, config_venus_chunks_100.json, clusters2.json, 1, 397497, 11764, 11764, 11764, -64777, 50, 0.06754225682330665, 3911
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals10.json, 1, 21434, 790, 784, 784, -2363, 50, 0.000000000013872910379290454, 5414
bitcoinotc_signed.json, config_gaia_chunks_100.json, intervals12.json, 1, 21434, 750, 745, 745, -2403, 50, 0, 5440
